#time, gyroX[]
245.504,0.0340885
245.609,0.0436758
245.714,0.0372843
245.819,0.0276969
245.924,0.0234358
246.029,0.0138484
246.134,0.0223706
246.239,0.0351537
246.344,0.0511327
246.449,0.0607201
246.554,0.0500674
246.659,0.0213053
246.764,0.232228
246.869,0.116114
246.974,0.0106526
247.079,0.0149137
247.184,0.0777643
247.289,0.0468716
247.394,0.0532632
247.499,0.0308927
247.604,0.00745685
247.709,-0.0138484
247.814,0.036219
247.919,0.0415453
248.024,0.0266316
248.129,0.0287621
248.234,-0.0426106
248.339,0.0713727
248.444,-0.0798948
248.549,0.112918
248.654,-0.00852212
248.759,0.0213053
248.864,0.0276969
248.969,0.0585895
249.074,0.0287621
249.179,0.0511327
249.284,0.0223706
249.389,0.0213053
249.494,0.100135
249.599,0.0820254
249.704,0.0372843
249.809,0.0234358
249.914,0.0830906
250.019,0.0223706
250.124,0.0830906
250.229,0.0884169
250.334,0.0671117
250.439,0.0170442
250.544,0.0276969
250.649,0.0234358
250.754,0.0553938
250.859,0.0319579
250.964,0.0298274
251.069,0.0276969
251.174,0.015979
251.279,0.0266316
251.384,0.0138484
251.489,0.0138484
251.594,0.0436758
251.699,0.0372843
251.804,0.0223706
251.909,0.0372843
252.014,0.0351537
252.119,0.100135
252.224,0.0809601
252.329,0.0958738
252.434,0.0383495
252.539,0.0181095
252.644,0.015979
252.749,0.0351537
252.854,0.0319579
252.959,0.0298274
253.064,0.072438
253.169,0.0372843
253.274,0.0511327
253.379,0.0607201
253.484,0.0117179
253.589,0.00639159
253.694,-0.0266316
253.799,0.0692422
253.904,0.0308927
254.009,0.0383495
254.114,0.0500674
254.219,-0.0106526
254.324,0.0639159
254.429,0.056459
254.534,-0.0436758
254.639,-0.0117179
254.744,0
254.849,-0.072438
254.954,-0.0170442
255.059,0.0532632
255.164,0.0394148
255.269,0.1012
255.374,0.0756338
255.479,0.0511327
255.584,0.00426106
255.689,0.0703075
255.794,0.120375
255.899,0.0884169
256.004,-0.00852212
256.109,0.0181095
256.214,0.0830906
256.319,0.0553938
256.424,0.0948085
256.529,0.103331
256.634,0.00319579
256.739,0.056459
256.844,0.0447411
256.949,-0.00958738
257.054,0.0181095
257.159,0.00639159
257.264,0.112918
257.369,0.0543285
257.474,0.0234358
257.579,-0.0266316
257.684,0.0543285
257.789,0.0458064
257.894,-0.00958738
257.999,0.0394148
258.104,0.0351537
258.209,0.102265
258.314,0.076699
258.419,-0.0213053
258.524,-0.107592
258.629,0.201335
258.734,0.156594
258.839,0.173638
258.944,0.102265
259.049,0.0532632
259.154,0.056459
259.259,0.205596
259.364,0.00852212
259.469,-0.0330232
259.574,0.0127832
259.679,0.052198
259.784,0.0372843
259.889,0.00958738
259.994,-0.0340885
260.099,-0.0223706
260.204,0.0426106
260.309,0.0436758
260.414,0.052198
260.519,-0.0458064
260.624,0.0308927
260.729,-0.0213053
260.834,-0.0106526
260.939,0.0948085
261.044,0.00213053
261.149,-0.0117179
261.254,0.0138484
261.359,-0.00852212
261.464,0.072438
261.569,-0.0628506
261.674,-0.0681769
261.779,-0.0340885
261.884,0.00958738
261.989,0.0287621
262.094,0.00532632
262.199,0.120375
262.304,-0.0181095
262.409,-0.00745685
262.514,0.117179
262.619,-0.0372843
262.724,0.0234358
262.829,0.0308927
262.934,0.0234358
263.039,0.0756338
263.144,0.144876
263.249,0.108657
263.354,0.00426106
263.459,-0.0319579
263.564,0.0351537
