#time, gyroZ[]
202.769,-0.00532632
202.874,-0.02024
202.979,-0.00106526
203.084,-0.00958738
203.189,-0.00532632
203.294,-0.0106526
203.399,-0.00852212
203.504,-0.00745685
203.609,-0.0138484
203.714,-0.00106526
203.819,-0.00319579
203.924,0
204.029,0
204.134,-0.00106526
204.239,-0.00106526
204.344,-0.00106526
204.449,-0.00106526
204.554,-0.00426106
204.659,-0.0170442
204.764,-0.00213053
204.869,-0.0117179
204.974,-0.00213053
205.079,-0.0117179
205.184,-0.00106526
205.289,-0.00106526
205.394,0.00213053
205.499,-0.00958738
205.604,0.00958738
205.709,-0.00426106
205.814,-0.00106526
205.919,-0.00426106
206.024,-0.00639159
206.129,-0.00319579
206.234,-0.00319579
206.339,-0.00958738
206.444,-0.00426106
206.549,-0.00426106
206.654,-0.00745685
206.759,-0.00745685
206.864,0.00319579
206.969,0.00213053
207.074,-0.00106526
207.179,-0.00106526
207.284,-0.00213053
207.389,0
207.494,-0.00106526
207.599,-0.00213053
207.704,-0.00106526
207.809,-0.00106526
207.914,0.00319579
208.019,-0.00319579
208.124,-0.0127832
208.229,-0.00319579
208.334,-0.00106526
208.439,0
208.544,-0.00106526
208.649,-0.00106526
208.754,0
208.859,0.00106526
208.964,0.00106526
209.069,-0.00213053
209.174,-0.00213053
209.279,0.00319579
209.384,0.00852212
209.489,-0.00639159
209.594,-0.00213053
209.699,0.00106526
209.804,-0.00426106
209.909,0.00426106
210.014,0.00213053
210.119,0.00319579
210.224,0.00213053
210.329,-0.00213053
210.434,0.00532632
210.539,0.00319579
210.644,0.00532632
210.749,0.00426106
210.854,-0.0106526
210.959,0.00319579
211.064,0
211.169,0.00532632
211.274,0.00106526
211.379,0.00106526
211.484,-0.00745685
211.589,-0.0149137
211.694,0.00745685
211.799,0.0181095
211.904,0
212.009,-0.00213053
212.114,0.00106526
212.219,-0.00426106
212.324,0
212.429,0.00106526
212.534,0.00213053
212.639,-0.00106526
212.744,0.00319579
212.849,-0.00426106
212.954,-0.00958738
213.059,-0.00213053
213.164,-0.00213053
213.269,0.00213053
213.374,-0.00106526
213.479,-0.00106526
213.584,0.00106526
213.689,-0.00319579
213.794,-0.00106526
213.899,0
214.004,0
214.109,-0.00106526
214.214,-0.00426106
214.319,0.00106526
214.424,-0.00426106
214.529,0
214.634,-0.00106526
214.739,-0.00106526
214.844,-0.00106526
214.949,-0.00106526
215.054,-0.00106526
215.159,-0.00532632
215.264,0.00106526
215.369,0.00213053
215.474,-0.00213053
215.579,0.00106526
215.684,-0.00106526
215.789,-0.00106526
215.894,-0.00106526
215.999,-0.00426106
216.104,-0.00213053
216.209,0
216.314,-0.00106526
216.419,0.00106526
216.524,-0.0671117
216.629,0
216.734,0.00213053
216.839,-0.00213053
216.944,-0.00319579
217.049,-0.00106526
217.154,-0.00958738
217.259,0.00106526
217.364,-0.00106526
217.469,0
217.574,-0.00852212
217.679,-0.00426106
217.784,0
217.889,-0.00106526
217.994,0.0138484
218.099,-0.0138484
218.204,-0.00639159
218.309,0
218.414,-0.00213053
218.519,-0.00106526
218.624,0
218.729,0.00213053
218.834,0.0223706
218.939,-0.00319579
219.044,-0.0106526
219.149,0.00106526
219.254,0.00106526
219.359,0.00319579
219.464,-0.00213053
219.569,0
219.674,0
219.779,0
219.884,-0.00213053
219.989,-0.00106526
220.094,-0.00213053
220.199,-0.00426106
220.304,-0.00106526
220.409,-0.00532632
220.514,0
220.619,-0.04048
220.724,-0.0117179
220.829,0.00106526
220.934,0
221.039,-0.00106526
221.144,-0.00106526
221.249,0
221.354,0
221.459,0
221.564,0
221.669,0
221.774,-0.00106526
221.879,0
221.984,0
222.089,-0.00106526
222.194,0
222.299,-0.00213053
222.404,-0.00106526
222.509,-0.00106526
222.614,0
222.719,0.00106526
222.824,-0.00106526
222.929,0
223.034,-0.0106526
223.139,-0.02024
223.244,0.00426106
223.349,-0.00106526
223.454,-0.0213053
223.559,-0.0106526
223.664,0.00106526
