#time, Temp[]
89.8051,0.61
89.905,0.61
90.0051,0.61
90.1052,0.61
90.2053,0.61
90.3052,0.61
90.4053,0.61
90.5051,0.61
90.6051,0.61
90.7051,0.61
90.8052,0.61
90.9051,0.61
91.0051,0.61
91.1052,0.61
91.2051,0.61
91.305,0.61
91.405,0.61
91.5051,0.61
91.6051,0.61
91.7051,0.61
91.8051,0.61
91.905,0.61
92.0052,0.61
92.1051,0.61
92.2051,0.61
92.3051,0.61
92.4051,0.61
92.5052,0.61
92.6052,0.61
92.705,0.61
92.8051,0.61
92.9054,0.61
93.0052,0.61
93.1052,0.61
93.2052,0.61
93.3053,0.61
93.4052,0.61
93.5052,0.61
93.6052,0.61
93.7053,0.61
93.8052,0.61
93.9053,0.61
94.0053,0.61
94.1056,0.61
94.2051,0.61
94.3052,0.61
94.4051,0.61
94.5051,0.61
94.6052,0.61
94.7051,0.61
94.8052,0.61
94.9051,0.61
95.0051,0.61
95.1053,0.61
95.2051,0.61
95.3053,0.61
95.4052,0.61
95.5052,0.61
95.6051,0.61
95.7051,0.61
95.8052,0.61
95.9051,0.61
96.0051,0.61
96.1052,0.61
96.2053,0.61
96.305,0.61
96.4052,0.61
96.5052,0.61
96.6053,0.61
96.7052,0.61
96.8052,0.61
96.9051,0.61
97.0049,0.61
97.1051,0.61
97.2052,0.61
97.3051,0.61
97.4052,0.61
97.5052,0.61
97.6049,0.61
97.705,0.61
97.805,0.61
97.9053,0.61
98.0051,0.61
98.105,0.61
98.2052,0.61
98.3053,0.61
98.4052,0.61
98.5051,0.61
98.6051,0.61
98.7052,0.61
98.8051,0.61
98.9052,0.61
99.0053,0.61
99.1053,0.61
99.2053,0.61
99.3052,0.61
99.4055,0.61
99.5051,0.61
99.605,0.61
99.7051,0.61
99.8048,0.61
99.9051,0.61
100.005,0.61
100.105,0.61
100.205,0.61
100.305,0.61
100.405,0.61
100.505,0.61
100.605,0.61
100.705,0.61
100.805,0.61
100.905,0.61
101.005,0.61
101.105,0.61
101.205,0.61
101.305,0.61
101.405,0.61
101.505,0.61
101.605,0.61
101.705,0.61
101.805,0.61
101.905,0.61
102.005,0.61
102.105,0.61
102.205,0.61
102.305,0.61
102.405,0.61
102.505,0.61
102.606,0.61
102.705,0.61
102.806,0.61
102.905,0.61
103.006,0.61
103.105,0.61
103.205,0.61
103.305,0.61
103.406,0.61
103.505,0.61
103.606,0.61
103.705,0.61
103.805,0.61
103.905,0.61
104.005,0.61
104.105,0.61
104.205,0.61
104.305,0.61
104.405,0.61
104.505,0.61
104.605,0.61
104.705,0.61
104.805,0.61
104.905,0.61
105.005,0.61
105.105,0.61
105.205,0.61
105.305,0.61
105.405,0.61
105.505,0.61
105.605,0.61
105.705,0.61
105.805,0.61
105.905,0.61
106.005,0.61
106.105,0.61
106.205,0.61
106.305,0.61
106.405,0.61
106.505,0.61
106.605,0.61
106.705,0.61
106.805,0.61
106.905,0.61
107.005,0.61
107.105,0.61
107.205,0.61
107.305,0.61
107.405,0.61
107.505,0.61
107.605,0.61
107.705,0.61
107.805,0.61
107.905,0.61
108.005,0.61
108.105,0.61
108.205,0.61
108.305,0.61
108.405,0.61
108.505,0.61
108.605,0.61
108.705,0.61
108.805,0.61
108.905,0.61
109.005,0.61
109.105,0.61
109.205,0.61
109.305,0.61
109.405,0.61
109.505,0.61
109.605,0.61
109.705,0.61
109.805,0.61
109.905,0.61
110.005,0.61
110.105,0.61
110.205,0.61
110.305,0.61
110.405,0.61
110.505,0.61
110.605,0.61
110.705,0.61
110.805,0.61
110.905,0.61
111.005,0.61
111.105,0.61
111.205,0.61
111.305,0.61
111.405,0.61
111.505,0.61
111.605,0.61
111.705,0.61
111.805,0.61
111.905,0.61
112.005,0.62
112.105,0.61
112.205,0.62
112.305,0.62
112.405,0.61
112.505,0.61
112.605,0.62
112.705,0.62
112.805,0.62
112.906,0.62
113.005,0.62
113.106,0.62
113.205,0.62
113.306,0.62
113.405,0.62
113.505,0.62
113.605,0.62
113.705,0.62
113.805,0.62
113.906,0.62
114.005,0.62
114.106,0.62
114.205,0.62
114.305,0.62
114.405,0.62
114.505,0.62
114.605,0.62
114.705,0.62
114.805,0.62
114.905,0.62
115.005,0.62
115.105,0.62
115.205,0.62
115.305,0.62
115.405,0.62
115.505,0.62
115.605,0.62
115.705,0.62
115.805,0.62
115.905,0.62
116.005,0.62
116.105,0.62
116.205,0.62
116.305,0.62
116.405,0.62
116.505,0.62
116.605,0.62
116.705,0.62
116.805,0.62
116.905,0.62
117.005,0.62
117.105,0.62
117.205,0.62
117.305,0.62
117.405,0.62
117.505,0.62
117.605,0.62
117.705,0.62
117.805,0.62
117.905,0.62
118.005,0.62
118.105,0.62
118.205,0.62
118.305,0.62
118.405,0.62
118.505,0.62
118.605,0.62
118.705,0.62
118.805,0.62
118.905,0.62
119.005,0.62
119.105,0.62
119.205,0.62
119.305,0.62
119.405,0.62
119.505,0.62
119.605,0.62
119.705,0.62
119.805,0.62
119.905,0.62
120.005,0.62
120.105,0.62
120.205,0.62
120.305,0.62
120.405,0.62
120.505,0.62
120.605,0.62
120.705,0.62
120.805,0.62
120.905,0.62
121.005,0.62
121.105,0.62
121.205,0.62
121.305,0.62
121.405,0.62
121.505,0.62
121.605,0.62
121.705,0.62
121.805,0.62
121.905,0.62
122.005,0.62
122.105,0.62
122.205,0.62
122.305,0.62
122.406,0.62
122.505,0.62
122.605,0.62
122.705,0.62
122.805,0.62
122.905,0.62
123.006,0.62
123.105,0.62
123.205,0.62
123.305,0.62
123.405,0.62
123.505,0.62
123.606,0.62
123.705,0.62
123.805,0.62
123.905,0.62
124.005,0.62
124.105,0.62
124.206,0.62
124.305,0.62
124.405,0.62
124.505,0.62
124.605,0.62
124.705,0.62
124.806,0.62
124.905,0.62
125.005,0.62
125.105,0.62
125.205,0.62
125.305,0.62
125.405,0.62
125.505,0.62
125.605,0.62
125.705,0.62
