#time, GyrX[]
460.426,0.00244311
460.444,0.00732186
460.464,0.000405336
460.485,0.00349908
460.505,0.00651636
460.524,0.00904249
460.544,0.00371996
460.564,0.00347276
460.584,0.00325409
460.605,0.00517073
460.626,0.00123747
460.644,0.0032259
460.664,0.00473178
460.685,0.0018707
460.705,0.003148
460.724,0.00361249
460.744,-0.000780939
460.764,0.00430445
460.785,0.00298381
460.805,0.00683457
460.826,0.00408426
460.844,0.0012059
460.865,0.0056254
460.885,0.00411612
460.905,0.00303825
460.924,0.00893512
460.944,0.00753992
460.964,0.00512301
460.984,0.00627639
461.005,-7.32257e-05
461.026,0.00457884
461.044,0.00469772
461.065,0.00361148
461.085,-0.000656687
461.105,0.00228941
461.124,0.00400551
461.144,0.00410401
461.164,0.00963553
461.185,0.00408858
461.205,0.0112142
461.226,0.00589428
461.244,-0.00169767
461.264,0.0101323
461.285,0.00470253
461.305,0.00309689
461.324,0.00298803
461.344,0.00510991
461.364,0.00318172
461.385,0.00502464
461.405,0.0100934
461.426,0.00626443
461.444,0.0033835
461.464,0.00196484
461.485,0.00213259
461.505,0.00783577
461.524,0.0079053
461.544,0.00537311
461.564,0.00722662
461.585,0.00288212
461.605,-0.000480794
461.626,0.00533728
461.644,0.00203736
461.664,0.00416195
461.685,0.00220909
461.705,0.0037999
461.724,0.00476045
461.744,0.0041507
461.764,0.00135806
461.785,0.00305345
461.805,0.00468168
461.826,0.00573264
461.844,0.00739201
461.864,0.00358449
461.885,0.00526851
461.905,0.00358301
461.924,0.000363287
461.944,0.00150515
461.964,0.00289811
461.985,0.00232588
462.004,0.00341765
462.026,-0.00109848
462.044,-0.00024817
462.064,0.0015913
462.085,0.00236288
462.105,0.00814673
462.125,0.000828428
462.144,-0.000936424
462.164,0.00462126
462.185,-0.000380842
462.205,0.00281488
462.226,0.00589518
462.244,0.00401869
462.264,0.00739375
462.285,0.00454233
462.305,0.00348011
462.325,0.00348196
462.344,0.00126186
462.364,0.00426397
462.384,0.00657595
462.405,0.00421197
462.426,0.00522124
462.444,0.00481155
462.464,0.00482578
462.485,0.00760693
462.505,-0.00167034
462.524,0.0013482
462.544,0.00225883
462.564,0.00547976
462.584,0.00242001
462.605,0.00510346
462.626,0.00520826
462.644,0.00405331
462.664,0.00662529
462.685,0.00389778
462.705,0.00785844
462.724,0.0059935
462.744,0.00412678
462.764,0.00239892
462.785,0.00903186
462.805,0.00348962
462.826,0.00432724
462.844,0.00545105
462.864,0.00561494
462.885,-0.0010824
462.905,-0.000493079
462.924,0.00271389
462.944,0.00842428
462.964,0.00203256
462.984,0.00300134
463.005,-0.00319853
463.026,0.00132992
463.044,0.00406298
463.064,0.000493233
463.084,0.00612354
463.105,0.00212215
463.125,0.00372655
463.144,0.000511341
463.164,0.00536744
463.185,0.00183991
463.205,0.00513309
463.226,0.00554934
463.244,0.001494
463.264,0.00244815
463.285,0.000436029
463.305,0.000866763
463.325,0.00071541
463.344,0.00210982
463.364,0.000343899
463.385,0.00280837
463.405,0.00548329
463.426,0.00178631
463.444,0.00308324
463.464,-0.000815914
463.485,0.00404121
463.505,0.00193601
463.525,0.00454425
463.544,0.00356562
463.564,0.00840839
463.585,0.00131792
463.605,0.00432943
463.626,0.00475185
463.644,0.000146423
463.664,0.00039939
463.685,0.00318016
463.705,0.000339694
463.725,0.00718954
463.744,0.00375219
463.764,0.00559542
463.784,0.00121082
463.805,0.00493523
463.826,0.0069208
463.844,0.00329819
463.864,0.00537009
463.885,0.00734398
463.905,0.00764837
463.925,0.00471878
463.944,0.00607524
463.964,0.00775073
463.985,0.00680971
464.005,0.00489462
464.026,0.00658364
464.044,0.00187551
464.064,0.000920227
464.085,-0.00220359
464.105,0.00372722
464.125,0.000161323
464.144,0.00160612
464.164,0.00545466
464.185,0.00182341
464.205,0.00218281
464.226,0.00610481
464.244,0.0039368
464.264,0.00175436
464.285,0.000685308
464.305,0.00181723
464.325,-0.000182822
464.344,0.000388692
464.364,0.00163827
464.384,0.00240254
464.405,0.00622777
464.426,0.0057834
464.444,0.00441816
464.464,0.0015964
464.485,0.00243412
464.505,0.00115684
464.524,-0.000367539
464.544,0.0055747
464.564,0.00833753
464.584,0.00732729
464.604,0.000663696
464.626,0.00211086
464.644,0.0108713
464.664,0.00208899
464.685,0.00470829
464.705,0.00140877
464.724,0.00617452
464.744,0.00173662
464.764,0.00133688
464.785,0.00289443
464.805,0.00264917
464.826,-2.18811e-05
464.844,0.00663707
464.864,0.00393424
464.885,0.00602389
464.905,0.0034166
464.924,0.00534507
464.944,0.00225062
464.964,0.000114089
464.985,0.00696944
465.005,0.00285486
465.026,0.00362396
465.044,0.00321752
465.064,0.00254666
465.085,0.00424097
465.105,0.00226483
465.125,0.00324522
465.144,0.00413868
465.164,0.00636344
465.185,0.00209897
465.204,0.00405641
465.226,0.00409325
465.244,0.00766793
465.264,0.00608841
465.285,0.0019249
465.305,0.00160356
465.324,0.00483331
465.344,-0.00212991
465.364,0.00131407
465.385,0.00376482
465.404,0.0056342
465.426,0.00139886
465.444,0.00214904
465.464,0.00458218
465.485,0.00151242
