#time, AccY[]
30.6247,-0.689482
30.6442,-0.639709
30.6642,-0.698358
30.6851,-0.667429
30.7051,-0.624646
30.7247,-0.58106
30.7443,-0.604417
30.7643,-0.702387
30.7854,-0.624337
30.8048,-0.646806
30.8244,-0.700919
30.8444,-0.671169
30.8643,-0.576916
30.8851,-0.590537
30.9049,-0.634991
30.9247,-0.745486
30.9444,-0.629142
30.9643,-0.60537
30.9853,-0.635008
31.0047,-0.660787
31.0244,-0.59247
31.0444,-0.652415
31.0642,-0.636168
31.0852,-0.680848
31.1052,-0.68648
31.1243,-0.650358
31.1442,-0.686602
31.1643,-0.623538
31.1853,-0.568071
31.2047,-0.666309
31.2244,-0.60313
31.2444,-0.624057
31.2643,-0.642702
31.2853,-0.570691
31.3051,-0.67301
31.3243,-0.606023
31.3444,-0.633968
31.3643,-0.626706
31.3853,-0.637408
31.4047,-0.631861
31.4243,-0.633652
31.4444,-0.649142
31.4643,-0.66575
31.4852,-0.622715
31.5051,-0.616255
31.5244,-0.674943
31.5444,-0.610458
31.5642,-0.559883
31.5855,-0.60678
31.6046,-0.573392
31.6243,-0.656259
31.6445,-0.660407
31.6641,-0.585266
31.6853,-0.573844
31.7051,-0.611135
31.7244,-0.676459
31.7444,-0.580921
31.7644,-0.609145
31.7852,-0.589045
31.8047,-0.571457
31.8245,-0.613447
31.8443,-0.653542
31.8643,-0.693473
31.8855,-0.601962
31.9049,-0.623773
31.9244,-0.66252
31.9441,-0.654089
31.9643,-0.609795
31.9852,-0.67895
32.0047,-0.673884
32.0244,-0.653758
32.0443,-0.548465
32.0644,-0.622262
32.0857,-0.655216
32.1047,-0.717931
32.1244,-0.678735
32.1442,-0.645898
32.1643,-0.546323
32.1855,-0.653122
32.2046,-0.737212
32.2244,-0.604369
32.2442,-0.639292
32.2645,-0.63839
32.2856,-0.658489
32.305,-0.648084
32.3244,-0.636612
32.3443,-0.55775
32.3645,-0.64956
32.3854,-0.588696
32.4053,-0.632935
32.4256,-0.647803
32.4441,-0.661715
32.4644,-0.622342
32.4849,-0.670728
32.5051,-0.645683
32.5243,-0.665117
32.5441,-0.715924
32.5644,-0.62703
32.5861,-0.688571
32.6047,-0.637037
32.6243,-0.583857
32.6442,-0.67
32.6644,-0.655017
32.6847,-0.595736
32.7048,-0.55244
32.7243,-0.610335
32.7442,-0.628622
32.7644,-0.680642
32.786,-0.651908
32.8046,-0.631585
32.8243,-0.59759
32.8443,-0.628483
32.8644,-0.667007
32.885,-0.602779
32.905,-0.723409
32.9244,-0.709909
32.9442,-0.637256
32.9642,-0.662756
32.986,-0.70477
33.0046,-0.579999
33.0243,-0.589444
33.0443,-0.592203
33.0643,-0.541256
33.0848,-0.584799
33.1049,-0.649766
33.1244,-0.60116
33.1441,-0.630493
33.1656,-0.602092
33.1845,-0.608055
33.2047,-0.610594
33.2243,-0.614315
33.2442,-0.615713
33.2641,-0.632349
33.2848,-0.618007
33.3049,-0.689313
33.3244,-0.682189
33.3442,-0.600948
33.3642,-0.602463
33.3864,-0.617736
33.4046,-0.639976
33.4243,-0.609123
33.4443,-0.592883
33.4641,-0.630865
33.4849,-0.632006
33.5049,-0.634778
33.5244,-0.621385
33.5442,-0.623714
33.5656,-0.652604
33.5846,-0.613444
33.6048,-0.636745
33.6244,-0.640989
33.6442,-0.669252
33.6643,-0.624457
33.6851,-0.662319
33.7047,-0.675217
33.7244,-0.616658
33.7441,-0.683569
33.7641,-0.601529
33.786,-0.709062
33.8046,-0.608366
33.8244,-0.663666
33.8443,-0.584536
33.8645,-0.58223
33.8849,-0.57881
33.9049,-0.600476
33.9245,-0.641258
33.9442,-0.559404
33.9656,-0.596581
33.9845,-0.5991
34.0048,-0.591912
34.0243,-0.582767
34.0441,-0.590186
34.0645,-0.57868
34.0846,-0.59494
34.1049,-0.665974
34.1244,-0.599407
34.1441,-0.52962
34.1656,-0.648635
34.1844,-0.677049
34.2047,-0.649923
34.2243,-0.647673
34.2443,-0.620839
34.2646,-0.657955
34.2844,-0.704456
34.3048,-0.586027
34.3244,-0.581666
34.3442,-0.643254
34.3657,-0.662911
34.3846,-0.704131
34.4047,-0.653822
34.4244,-0.685634
34.4444,-0.680937
34.4642,-0.627246
34.4845,-0.590728
34.5048,-0.673781
34.5243,-0.643919
34.5442,-0.645132
34.5655,-0.603311
34.5846,-0.616076
34.6047,-0.62197
34.6248,-0.685493
34.6446,-0.616356
34.6642,-0.639464
34.6845,-0.654767
