#time, accX[]
99.8481,-0.938848
99.9531,-0.936453
100.058,-0.943638
100.163,-0.912502
100.268,-0.938848
100.373,-0.929268
100.478,-0.931663
100.583,-0.950823
100.688,-0.931663
100.793,-0.934058
100.898,-0.938848
101.003,-0.924478
101.108,-0.950823
101.213,-0.922083
101.318,-0.936453
101.423,-0.941243
101.528,-0.938848
101.633,-0.946033
101.738,-0.941243
101.843,-0.929268
101.948,-0.931663
102.053,-0.934058
102.158,-0.936453
102.263,-0.914898
102.368,-0.929268
102.473,-0.938848
102.578,-0.941243
102.683,-0.926873
102.788,-0.912502
102.893,-0.946033
102.998,-0.919688
103.103,-0.926873
103.208,-0.910107
103.313,-0.931663
103.418,-0.931663
103.523,-0.929268
103.628,-0.938848
103.733,-0.898132
103.838,-0.917293
103.943,-0.931663
104.048,-0.938848
104.153,-0.938848
104.258,-0.929268
104.363,-0.931663
104.468,-0.934058
104.573,-0.931663
104.678,-0.929268
104.783,-0.922083
104.888,-0.943638
104.993,-0.929268
105.098,-0.941243
105.203,-0.917293
105.308,-0.938848
105.413,-0.926873
105.518,-0.922083
105.623,-0.934058
105.728,-0.919688
105.833,-0.938848
105.938,-0.931663
106.043,-0.929268
106.148,-0.938848
106.253,-0.941243
106.358,-0.926873
106.463,-0.936453
106.568,-0.914898
106.673,-0.912502
106.778,-0.919688
106.883,-0.934058
106.988,-0.922083
107.093,-0.929268
107.198,-0.929268
107.303,-0.938848
107.408,-0.929268
107.513,-0.929268
107.618,-0.941243
107.723,-0.936453
107.828,-0.910107
107.933,-0.924478
108.038,-0.936453
108.143,-0.912502
108.248,-0.931663
108.353,-0.924478
108.458,-0.934058
108.563,-0.926873
108.668,-0.946033
108.773,-0.914898
108.878,-0.931663
108.983,-0.912502
109.088,-0.931663
109.193,-0.919688
109.298,-0.931663
109.403,-0.912502
109.508,-0.922083
109.613,-0.910107
109.718,-0.914898
109.823,-0.924478
109.928,-0.938848
110.033,-0.910107
110.138,-0.902922
