time;accX;accY;accZ;gyroX;gyroY;gyroZ;alt;lat;lon;EleL;EleR
260.242000;-1.220842;-0.334687;-18.209606;0.384226;0.607505;0.091704;649.087000;48.066600;11.644100;-0.134707;0.036893
260.262000;-1.213086;-0.326932;-18.413530;0.388690;0.589244;0.147301;649.087000;48.066600;11.644100;-0.139595;0.039697
260.282000;-1.205329;-0.319177;-18.617453;0.393153;0.570982;0.202897;649.087000;48.066600;11.644100;-0.144482;0.042502
260.302000;-1.204280;-0.311011;-18.667274;0.416548;0.565382;0.254294;649.087000;48.066600;11.644100;-0.148278;0.044038
260.322000;-1.218880;-0.301887;-18.357522;0.484117;0.589325;0.295890;649.087000;48.066600;11.644100;-0.148799;0.041769
260.342000;-1.233480;-0.292763;-18.047770;0.551685;0.613268;0.337486;649.087000;48.066600;11.644100;-0.149319;0.039500
260.362000;-1.248080;-0.283639;-17.738017;0.619253;0.637211;0.379082;649.087000;48.066600;11.644100;-0.149840;0.037231
260.382000;-1.262680;-0.274515;-17.428265;0.686821;0.661154;0.420678;649.087000;48.066600;11.644100;-0.150360;0.034962
260.402000;-1.276299;-0.263977;-17.140045;0.753020;0.683464;0.460813;648.987114;48.066599;11.644098;-0.150881;0.032693
260.422000;-1.271280;-0.226569;-17.260940;0.793196;0.674739;0.473190;646.989400;48.066580;11.644060;-0.150083;0.031278
260.442000;-1.266261;-0.189161;-17.381835;0.833371;0.666013;0.485568;644.991686;48.066561;11.644022;-0.149052;0.030012
260.462000;-1.261242;-0.151753;-17.502730;0.873547;0.657288;0.497945;642.993971;48.066542;11.643984;-0.148021;0.028747
260.482000;-1.256223;-0.114345;-17.623626;0.913723;0.648563;0.510322;640.996257;48.066523;11.643946;-0.146990;0.027482
260.502000;-1.251204;-0.076937;-17.744521;0.953899;0.639838;0.522700;638.998543;48.066504;11.643908;-0.145959;0.026217
260.522000;-1.231952;-0.076025;-17.808106;0.957714;0.596862;0.506021;638.599000;48.066500;11.643900;-0.143462;0.025351
260.542000;-1.209143;-0.084236;-17.857363;0.952438;0.545324;0.482078;638.599000;48.066500;11.643900;-0.140476;0.024617
260.562000;-1.186333;-0.092448;-17.906620;0.947162;0.493785;0.458134;638.599000;48.066500;11.643900;-0.137490;0.023883
260.582000;-1.163524;-0.100659;-17.955877;0.941887;0.442247;0.434191;638.599000;48.066500;11.643900;-0.134505;0.023150
260.602000;-1.140714;-0.108871;-18.005134;0.936611;0.390708;0.410248;638.599000;48.066500;11.643900;-0.131519;0.022416
260.622000;-1.135970;-0.112315;-18.042103;0.940040;0.390617;0.386863;638.599000;48.066500;11.643900;-0.128787;0.021478
260.642000;-1.146006;-0.111859;-18.069017;0.950591;0.432619;0.363935;638.599000;48.066500;11.643900;-0.126310;0.020337
260.662000;-1.156042;-0.111403;-18.095931;0.961143;0.474621;0.341006;638.599000;48.066500;11.643900;-0.123833;0.019195
260.682000;-1.166078;-0.110947;-18.122846;0.971694;0.516623;0.318078;638.599000;48.066500;11.643900;-0.121356;0.018053
260.702000;-1.176115;-0.110490;-18.149760;0.982245;0.558625;0.295149;638.599000;48.066500;11.643900;-0.118879;0.016911
260.722000;-1.180129;-0.117151;-18.225263;0.984213;0.593991;0.281047;638.599000;48.066500;11.643900;-0.116960;0.015524
260.742000;-1.170093;-0.140417;-18.414139;0.966154;0.613876;0.287540;638.599000;48.066500;11.643900;-0.116714;0.013398
260.762000;-1.160057;-0.163683;-18.603015;0.948096;0.633761;0.294033;638.599000;48.066500;11.643900;-0.116468;0.011272
260.782000;-1.150021;-0.186948;-18.791891;0.930037;0.653646;0.300526;638.599000;48.066500;11.643900;-0.116222;0.009146
260.802000;-1.139984;-0.210214;-18.980768;0.911978;0.673531;0.307020;638.599000;48.066500;11.643900;-0.115977;0.007020
260.822000;-1.131864;-0.231496;-19.143480;0.892671;0.691347;0.314294;638.599000;48.066500;11.643900;-0.115731;0.004895
260.842000;-1.160148;-0.215073;-18.809080;0.849655;0.669838;0.336411;638.599000;48.066500;11.643900;-0.117123;0.006611
260.862000;-1.188432;-0.198650;-18.474680;0.806638;0.648330;0.358528;638.599000;48.066500;11.643900;-0.118515;0.008327
260.882000;-1.216716;-0.182227;-18.140280;0.763622;0.626822;0.380645;638.599000;48.066500;11.643900;-0.119906;0.010043
260.902000;-1.244999;-0.165804;-17.805880;0.720606;0.605314;0.402762;638.599000;48.066500;11.643900;-0.121298;0.011760
260.922000;-1.273283;-0.149381;-17.471480;0.677589;0.583806;0.424879;638.599000;48.066500;11.643900;-0.122690;0.013476
260.942000;-1.272737;-0.162154;-17.334170;0.673369;0.582750;0.432061;638.599000;48.066500;11.643900;-0.123350;0.013930
260.962000;-1.264982;-0.182227;-17.246131;0.678847;0.586809;0.435511;638.599000;48.066500;11.643900;-0.123766;0.013962
