#time, yaw[]
50.9181,5.5309
51.0231,5.52676
51.1281,5.52894
51.2331,5.53287
51.3381,5.52871
51.4431,5.52675
51.5481,5.53069
51.6531,5.52661
51.7581,5.53281
51.8631,5.5246
51.9681,5.5349
52.0731,5.53067
52.1781,5.53076
52.2831,5.53061
52.3882,5.53072
52.4931,5.53053
52.5981,5.53458
52.7031,5.53049
52.8081,5.53221
52.9131,5.53244
53.0181,5.53218
53.1231,5.52826
53.2281,5.53021
53.3331,5.5303
53.4381,5.53023
53.5431,5.5281
53.6481,5.53208
53.7531,5.53207
53.8581,5.53226
53.9631,5.53224
54.0681,5.53007
54.1731,5.53434
54.2781,5.53026
54.3831,5.5281
54.4881,5.53238
54.5931,5.53637
54.6981,5.52827
54.8031,5.53022
54.9081,5.52618
55.0131,5.52603
55.1181,5.52822
55.2231,5.53018
55.3281,5.53226
55.4331,5.52813
55.5381,5.53026
55.6431,5.53229
55.7481,5.52623
55.8531,5.53047
55.9581,5.53259
56.0631,5.52833
56.1681,5.53262
56.2731,5.52838
56.3781,5.53035
56.4831,5.52838
56.5881,5.5283
56.6931,5.52827
56.7981,5.53461
56.9031,5.5285
57.0081,5.53463
57.1131,5.52862
57.2181,5.52859
57.3231,5.52656
57.4281,5.52857
57.5331,5.52842
57.6381,5.52637
57.7431,5.53053
57.8481,5.53037
57.9531,5.52828
58.0581,5.53037
58.1631,5.52816
58.2681,5.53028
58.3731,5.53024
58.4781,5.52419
58.5831,5.52439
58.6881,5.52656
58.7931,5.52667
58.8981,5.52868
59.0031,5.53427
59.1081,5.53136
59.2131,5.53265
59.3181,5.53316
59.4231,5.5334
59.5281,5.53122
59.6331,5.53101
59.7381,5.53107
59.8431,5.53095
59.9481,5.52521
60.0531,5.53328
60.1581,5.52915
60.2631,5.53349
60.3681,5.53082
60.4731,5.52873
60.5781,5.53102
60.6831,5.53078
60.7881,5.53295
60.8931,5.52887
60.9981,5.53113
61.1031,5.53086
61.2081,5.53064
61.3131,5.53062
61.4181,5.52666
61.5231,5.53051
61.6281,5.52844
61.7331,5.53046
61.8381,5.53071
61.9431,5.52848
62.0481,5.52554
62.1531,5.52664
62.2581,5.52591
62.3631,5.52583
62.4681,5.52541
62.5731,5.52695
62.6781,5.52282
62.7831,5.52677
62.8881,5.52503
62.9931,5.51897
63.0981,5.51499
63.2031,5.50268
63.3081,5.48569
63.4131,5.46861
63.5181,5.45521
63.6231,5.43805
63.7281,5.41891
63.8331,5.41034
63.9381,5.40567
64.0431,5.39035
64.1481,5.37478
64.2531,5.37178
64.3581,5.35575
64.4631,5.35017
64.5681,5.34325
64.6731,5.33743
64.7781,5.33967
64.8831,5.33697
64.9881,5.3321
65.0931,5.33135
65.1981,5.32727
65.3031,5.32687
65.4081,5.32976
65.5131,5.32672
65.6181,5.32567
65.7231,5.32873
65.8281,5.32656
65.9331,5.31783
66.0381,5.31115
66.1431,5.30396
66.2481,5.29562
66.3531,5.28721
66.4581,5.28592
66.5631,5.29013
66.6681,5.30035
66.7731,5.31615
66.8781,5.32007
66.9831,5.3139
67.0881,5.30957
67.1931,5.32138
67.2981,5.32788
67.4031,5.33268
67.5081,5.34398
67.6131,5.36048
67.7181,5.36187
67.8231,5.37421
67.9281,5.3785
68.0331,5.40191
68.1381,5.40863
68.2431,5.40592
68.3481,5.39951
68.4531,5.39096
68.5581,5.37419
68.6631,5.39365
68.7681,5.40159
68.8731,5.4097
68.9781,5.41031
69.0831,5.41197
69.1881,5.41138
69.2931,5.41205
69.3981,5.4212
69.5031,5.4064
69.6081,5.40569
69.7131,5.38699
69.8181,5.38815
69.9231,5.40534
70.0281,5.38211
70.1331,5.36441
70.2381,5.35835
70.3431,5.35353
70.4481,5.3566
70.5531,5.36078
70.6581,5.37196
70.7631,5.36595
70.8681,5.36667
70.9731,5.37506
71.0781,5.36903
71.1831,5.37094
71.2881,5.34433
71.3931,5.34877
71.4981,5.34256
71.6031,5.35424
71.7081,5.34048
71.8131,5.33314
71.9181,5.32714
72.0231,5.31637
72.1281,5.32256
72.2331,5.31058
72.3381,5.31758
72.4431,5.31594
72.5481,5.31083
72.6531,5.32444
72.7581,5.32247
72.8631,5.33076
72.9681,5.32706
73.0731,5.3172
73.1781,5.32304
73.2831,5.3083
73.3881,5.30877
73.4931,5.31461
73.5981,5.30482
73.7031,5.30405
73.8081,5.32313
73.9131,5.32451
74.0181,5.3181
74.1231,5.29608
74.2281,5.28758
74.3331,5.28971
74.4381,5.2997
74.5431,5.29935
74.6481,5.30081
74.7531,5.30774
74.8581,5.3121
74.9631,5.31524
75.0681,5.32308
75.1731,5.32696
75.2781,5.31652
75.3831,5.31525
75.4881,5.3134
75.5931,5.31523
