#time, gyroY[]
64.0421,0.0511327
64.1471,0.0468716
64.2521,0.0340885
64.3571,0.0500674
64.4621,0.0394148
64.5671,0.0543285
64.6721,0.0436758
64.7771,0.0756338
64.8821,0.0553938
64.9871,0.0170442
65.0921,0.0287621
65.1971,0.0340885
65.3021,0.0234358
65.4071,0.0234358
65.5121,0.0213053
65.6171,0.0191748
65.7221,0.0830906
65.8271,0.0596548
65.9321,0.0511327
66.0371,0.0191748
66.1421,0.036219
66.2471,0.0351537
66.3521,0.0585895
66.4572,0.0458064
66.5621,0.0223706
66.6671,0.0585895
66.7721,0.0905475
66.8771,0.0777643
66.9821,0.036219
67.0871,0.0553938
67.1921,-0.2024
67.2971,0.052198
67.4021,0.0234358
67.5071,0.0372843
67.6121,-0.00319579
67.7171,-0.0383495
67.8221,0.0617853
67.9271,0.0213053
68.0321,0.125701
68.1371,0.217314
68.2421,0.219444
68.3471,0.193878
68.4521,0.221575
68.5571,0.465521
68.6621,0.0543285
68.7671,0.0660464
68.8721,0.0585895
68.9771,0.0223706
69.0821,0.0703075
69.1871,0.115049
69.2921,-0.00958738
69.3971,-0.0308927
69.5021,0.0980043
69.6071,0.0468716
69.7121,-0
69.8171,0.0447411
69.9221,0.0713727
70.0271,0.247141
70.1321,-0.168312
70.2371,0.0255663
70.3421,-0.0298274
70.4471,-0.143811
70.5521,0.0830906
70.6571,-0.00852212
70.7621,0.0649811
70.8671,0.0330232
70.9721,-0.128897
71.0771,-0.0575243
71.1821,0.0735032
71.2871,0.056459
71.3921,0.00745685
71.4971,0.0394148
71.6021,-0.056459
71.7071,-0.0138484
71.8121,0.164051
71.9171,0.172573
72.0221,0.0170442
72.1271,0.0735032
72.2321,0.0213053
72.3371,-0.0298274
72.4421,-0.0852212
72.5471,-0.215183
72.6521,0.22051
72.7571,0.183225
72.8621,0.248207
72.9671,-0.442085
73.0721,0.251402
73.1771,0.632767
73.2821,0.291882
73.3871,-0.547546
73.4921,-0.435693
73.5971,0.661529
73.7021,0.0394148
73.8071,0.28336
73.9121,0.608266
74.0171,0.129962
74.1221,0.0969391
74.2271,0.132093
74.3321,0.135289
74.4371,0.0905475
74.5421,0.0170442
74.6471,-0.0458064
74.7521,-0.115049
74.8571,0.0468716
74.9621,0.123571
75.0671,0.0298274
75.1721,0.0916127
75.2771,-0.0106526
75.3821,-0.0426106
75.4871,-0.0894822
75.5921,-0.0266316
75.6971,-0.00852212
75.8021,0.14168
75.9071,0.257794
