#time, accZ[]
79.1621,-10.2172
79.2671,-10.883
79.3721,-8.91666
79.4771,-10.0782
79.5821,-11.2111
79.6871,-9.88425
79.7921,-9.55852
79.8971,-10.562
80.0021,-9.26873
80.1071,-11.6015
80.2121,-9.69983
80.3171,-12.4852
80.4221,-11.2279
80.5271,-10.9572
80.6321,-9.79803
80.7371,-10.2028
80.8421,-10.1836
80.9471,-10.3752
81.0521,-10.5668
81.1571,-10.1094
81.2621,-10.1669
81.3671,-9.76449
81.4721,-12.0086
81.5771,-10.2004
81.6821,-8.79212
81.7871,-10.0303
81.8921,-10.0806
81.9971,-9.69983
82.1021,-10.0184
82.2071,-10.7369
82.3121,-11.2135
82.4171,-8.56938
82.5221,-10.2842
82.6271,-11.1249
82.7321,-10.9357
82.8371,-10.3489
82.9421,-10.3058
83.0471,-9.40524
83.1521,-11.0578
83.2571,-10.3058
83.3621,-10.2651
83.4671,-10.95
83.5721,-10.6483
83.6771,-10.7536
83.7821,-10.6363
83.8871,-10.301
83.9921,-10.4135
84.0971,-10.5213
84.2021,-10.5764
84.3071,-10.0279
84.4121,-10.3345
84.5171,-10.6339
84.6221,-9.6639
84.7271,-10.6722
84.8321,-10.6554
84.9371,-10.4854
85.0421,-10.6962
85.1471,-9.05078
85.2521,-10.6171
85.3571,-10.4686
85.4621,-10.4159
85.5671,-10.5908
85.6721,-10.3369
85.7771,-10.8135
85.8821,-11.6254
85.9871,-10.9476
86.0921,-10.3656
86.1971,-9.96807
86.3021,-9.68546
86.4071,-12.4733
86.5121,-9.87706
86.6171,-10.9524
86.7221,-9.94173
86.8271,-8.85918
86.9321,-9.47949
87.0371,-9.616
87.1421,-9.34058
87.2471,-10.016
87.3521,-8.23647
87.4571,-8.50232
87.5621,-10.7177
87.6671,-10.3465
87.7721,-10.586
87.8771,-10.471
87.9821,-10.4447
88.0871,-10.4614
88.1921,-10.4375
88.2971,-10.4279
88.4021,-10.4638
88.5071,-10.4399
88.6121,-10.4303
88.7171,-10.4231
88.8221,-10.4375
88.9271,-10.4255
89.0321,-10.4135
89.1371,-10.4088
89.2421,-10.4088
89.3471,-10.4662
89.4521,-10.4423
89.5571,-10.4207
89.6621,-10.4231
89.7671,-10.4159
89.8721,-10.4088
89.9771,-10.4471
90.0821,-10.4231
90.1871,-10.4351
90.2921,-10.4135
90.3971,-10.4231
90.5021,-10.4327
90.6071,-10.4303
90.7121,-10.4159
90.8171,-10.4327
90.9221,-10.4159
91.0271,-10.4327
91.1321,-10.4447
91.2371,-10.4519
91.3421,-10.4159
91.4471,-10.4255
91.5521,-10.4375
91.6571,-10.4423
91.7621,-10.4183
91.8671,-10.4255
91.9721,-10.4279
92.0771,-10.4111
92.1821,-10.4207
92.2871,-10.4423
92.3921,-10.4351
92.4971,-10.404
92.6021,-10.4375
92.7071,-10.4375
92.8121,-10.4399
92.9171,-10.4662
93.0221,-10.4327
93.1271,-10.4255
93.2321,-10.4375
93.3371,-10.4519
93.4421,-10.4207
93.5471,-10.4231
93.6521,-10.4231
93.7571,-10.4543
93.8621,-10.4567
93.9671,-10.4327
94.0721,-10.4327
94.1771,-10.4279
94.2821,-10.4327
94.3871,-10.4088
94.4921,-10.4231
94.5971,-10.4327
94.7021,-10.4135
94.8071,-10.4662
94.9121,-10.4207
95.0171,-10.4231
95.1221,-10.4279
95.2271,-10.4159
95.3321,-10.4423
