#time, pitch[]
47.4521,-0.151119
47.5571,-0.152682
47.6621,-0.154191
47.7671,-0.153667
47.8721,-0.153867
47.9771,-0.152783
48.0821,-0.152938
48.1871,-0.153299
48.2921,-0.153434
48.3971,-0.156233
48.5021,-0.156645
48.6071,-0.156864
48.7121,-0.156881
48.8171,-0.157333
48.9221,-0.156501
49.0271,-0.156177
49.1321,-0.156916
49.2371,-0.155824
49.3421,-0.155532
49.4471,-0.153067
49.5521,-0.153051
49.6571,-0.151782
49.7621,-0.150504
49.8671,-0.149515
49.9721,-0.150011
50.0771,-0.151226
50.1821,-0.151494
50.2871,-0.152097
50.3921,-0.152717
50.4971,-0.15124
50.6021,-0.152373
50.7071,-0.152496
50.8121,-0.152514
50.9171,-0.153974
51.0221,-0.151894
51.1271,-0.15294
51.2321,-0.14938
51.3371,-0.150142
51.4421,-0.154103
51.5471,-0.152916
51.6521,-0.154415
51.7571,-0.153692
51.8621,-0.153346
51.9671,-0.15403
52.0721,-0.154213
52.1771,-0.155188
52.2821,-0.156033
52.3871,-0.154503
52.4921,-0.155158
52.5971,-0.157199
52.7021,-0.156525
52.8071,-0.156163
52.9121,-0.15428
53.0171,-0.152054
53.1221,-0.152517
53.2271,-0.15392
53.3321,-0.15348
53.4371,-0.154435
53.5421,-0.157836
53.6471,-0.15577
53.7521,-0.155707
53.8571,-0.155652
53.9621,-0.141145
54.0671,-0.115169
54.1721,-0.0735298
54.2771,-0.0542932
54.3821,-0.0404168
54.4871,-0.0490824
54.5921,-0.0691733
54.6971,-0.0645496
54.8021,-0.0748608
54.9071,-0.0729356
55.0121,-0.0748529
55.1171,-0.0863731
55.2221,-0.0758637
55.3271,-0.0833755
55.4321,-0.0875939
55.5371,-0.090714
55.6421,-0.0916806
55.7471,-0.0934526
55.8521,-0.0975244
55.9571,-0.0990072
56.0621,-0.101621
56.1671,-0.104875
56.2721,-0.10421
56.3771,-0.104063
56.4821,-0.104452
56.5871,-0.104698
56.6921,-0.105682
56.7971,-0.107005
56.9021,-0.109837
57.0071,-0.114629
57.1121,-0.123562
57.2171,-0.143491
57.3221,-0.15881
57.4271,-0.172672
57.5321,-0.177547
57.6371,-0.181474
57.7421,-0.178716
57.8471,-0.177752
57.9521,-0.17609
58.0571,-0.179335
58.1621,-0.17816
58.2671,-0.17659
58.3721,-0.176306
58.4771,-0.175009
58.5821,-0.169901
58.6871,-0.1658
58.7921,-0.163008
58.8971,-0.158878
59.0021,-0.158169
59.1071,-0.163506
59.2121,-0.160706
59.3171,-0.156176
59.4221,-0.15023
59.5271,-0.146803
59.6321,-0.142413
59.7371,-0.138858
59.8421,-0.126087
59.9471,-0.13701
60.0521,-0.132154
60.1571,-0.141787
60.2621,-0.14198
60.3671,-0.143638
60.4721,-0.144772
60.5771,-0.144939
60.6821,-0.145342
60.7871,-0.145979
60.8921,-0.146214
60.9971,-0.14715
61.1021,-0.145198
61.2071,-0.146942
61.3121,-0.14759
61.4171,-0.149095
61.5221,-0.148968
61.6271,-0.148831
61.7321,-0.148118
61.8371,-0.146054
61.9421,-0.145685
62.0471,-0.145101
62.1521,-0.144937
62.2571,-0.138869
62.3621,-0.13802
62.4671,-0.138027
62.5721,-0.136235
62.6771,-0.133735
62.7821,-0.131001
62.8871,-0.130651
62.9921,-0.130408
63.0971,-0.130728
63.2021,-0.130379
63.3071,-0.130581
63.4121,-0.130602
63.5171,-0.130643
63.6221,-0.130845
63.7271,-0.130656
63.8321,-0.129599
