time;roll;pitch;yaw;alt
 8.07844E+01;-1.10810E-02; 7.29239E-02; 2.56753E+00; 1.10903E+02
 8.08844E+01;-1.08323E-02; 5.95753E-02; 2.56679E+00; 1.10903E+02
 8.09844E+01;-1.03415E-02; 6.22156E-02; 2.56660E+00; 1.10903E+02
 8.10844E+01;-9.53020E-03; 7.26428E-02; 2.56648E+00; 1.10903E+02
 8.11844E+01;-8.49271E-03; 7.74499E-02; 2.56612E+00; 1.10903E+02
 8.12844E+01;-7.32953E-03; 7.91547E-02; 2.56530E+00; 1.10903E+02
 8.13844E+01;-7.06158E-03; 7.24576E-02; 2.56412E+00; 1.10903E+02
 8.14844E+01;-7.62976E-03; 6.14938E-02; 2.56275E+00; 1.10903E+02
 8.15844E+01;-6.65644E-03; 6.53663E-02; 2.56159E+00; 1.10903E+02
 8.16844E+01;-3.97297E-03; 7.66024E-02; 2.56068E+00; 1.10903E+02
 8.17844E+01;-2.25313E-03; 7.84057E-02; 2.55990E+00; 1.10903E+02
 8.18844E+01;-1.46865E-03; 7.56900E-02; 2.55894E+00; 1.10903E+02
 8.19844E+01;-4.36036E-04; 8.35593E-02; 2.55806E+00; 1.10903E+02
 8.20844E+01; 8.64108E-04; 9.71726E-02; 2.55685E+00; 1.10903E+02
 8.21844E+01; 1.61437E-03; 9.38387E-02; 2.55490E+00; 1.10903E+02
 8.22844E+01; 1.85772E-03; 8.27952E-02; 2.55297E+00; 1.10903E+02
 8.23844E+01; 2.38661E-03; 7.40543E-02; 2.55162E+00; 1.10903E+02
 8.24844E+01; 3.08144E-03; 6.62743E-02; 2.55077E+00; 1.10903E+02
 8.25844E+01; 3.26378E-03; 6.61086E-02; 2.55027E+00; 1.10903E+02
 8.26844E+01; 3.10336E-03; 6.94260E-02; 2.54969E+00; 1.10903E+02
 8.27844E+01; 2.90404E-03; 7.09390E-02; 2.54891E+00; 1.10903E+02
 8.28844E+01; 2.72801E-03; 7.14108E-02; 2.54816E+00; 1.10903E+02
 8.29844E+01; 2.52123E-03; 7.16229E-02; 2.54738E+00; 1.10903E+02
 8.30844E+01; 2.28522E-03; 7.18520E-02; 2.54643E+00; 1.10903E+02
 8.31844E+01; 2.13847E-03; 7.17102E-02; 2.54568E+00; 1.10903E+02
 8.32844E+01; 2.04885E-03; 7.14092E-02; 2.54500E+00; 1.10903E+02
 8.33844E+01; 1.87557E-03; 7.10040E-02; 2.54427E+00; 1.10903E+02
 8.34844E+01; 1.63132E-03; 7.06745E-02; 2.54355E+00; 1.10903E+02
 8.35844E+01; 1.47552E-03; 7.09669E-02; 2.54294E+00; 1.10903E+02
 8.36844E+01; 1.38357E-03; 7.16575E-02; 2.54254E+00; 1.10903E+02
 8.37844E+01; 1.32569E-03; 7.15438E-02; 2.54205E+00; 1.10903E+02
 8.38844E+01; 1.31255E-03; 7.10797E-02; 2.54140E+00; 1.10903E+02
 8.39844E+01; 1.28660E-03; 7.08627E-02; 2.54077E+00; 1.10903E+02
