#time, GyrZ[]
475.827,-0.264696
475.847,-0.256336
475.867,-0.262037
475.886,-0.265813
475.907,-0.26673
475.927,-0.263352
475.947,-0.259811
475.967,-0.255905
475.986,-0.244425
476.008,-0.239916
476.027,-0.23503
476.047,-0.237106
476.067,-0.237282
476.087,-0.233397
476.106,-0.2283
476.127,-0.2182
476.147,-0.211827
476.167,-0.211097
476.187,-0.199099
476.208,-0.196069
476.227,-0.192779
476.247,-0.207635
476.267,-0.234961
476.286,-0.254471
476.307,-0.269487
476.327,-0.29798
476.347,-0.322963
476.367,-0.345651
476.387,-0.386035
476.408,-0.420626
476.427,-0.431919
476.447,-0.436742
476.467,-0.445024
476.487,-0.436553
476.507,-0.413982
476.527,-0.398164
476.547,-0.385806
476.567,-0.372548
476.587,-0.364072
476.608,-0.356788
476.627,-0.344757
476.647,-0.326679
476.667,-0.324983
476.687,-0.316009
476.707,-0.313947
476.727,-0.30943
476.747,-0.299141
476.767,-0.29259
476.787,-0.286098
476.808,-0.281016
476.827,-0.263657
476.847,-0.262209
476.867,-0.250829
476.887,-0.251136
476.907,-0.24206
476.927,-0.233395
476.947,-0.229168
476.967,-0.229689
476.987,-0.233438
477.008,-0.243053
477.027,-0.243946
477.047,-0.248561
477.067,-0.251799
477.086,-0.252023
477.107,-0.249416
477.127,-0.244417
477.147,-0.252931
477.167,-0.2604
477.187,-0.267003
477.208,-0.286461
477.227,-0.305202
477.247,-0.306358
477.267,-0.316994
477.287,-0.324665
477.307,-0.334231
477.327,-0.33787
477.347,-0.351415
477.367,-0.376899
477.387,-0.396118
477.408,-0.42059
477.427,-0.449089
477.446,-0.469135
477.467,-0.474287
477.487,-0.488225
477.507,-0.500555
477.527,-0.499345
477.547,-0.507928
477.567,-0.499965
477.587,-0.486845
477.608,-0.47659
477.627,-0.460602
477.647,-0.448683
477.667,-0.4315
477.687,-0.408901
477.707,-0.38888
477.727,-0.373697
477.746,-0.366208
477.767,-0.354836
477.787,-0.329091
477.808,-0.297374
477.827,-0.270658
477.847,-0.25396
477.867,-0.228216
477.887,-0.209661
477.907,-0.18542
477.927,-0.159286
477.947,-0.149691
477.967,-0.148925
477.987,-0.156314
478.008,-0.144797
478.027,-0.132948
478.046,-0.136055
478.067,-0.14008
478.087,-0.121593
478.106,-0.100172
478.127,-0.0661853
478.147,-0.0462202
478.167,-0.0292418
478.187,-0.0173488
478.208,-0.00486082
478.227,0.0113782
478.246,0.0349399
478.267,0.0593688
478.287,0.0908331
478.307,0.111785
478.327,0.117981
478.347,0.13363
478.367,0.147571
478.387,0.162928
478.408,0.172046
478.427,0.184665
478.446,0.209189
478.467,0.22398
478.487,0.235753
478.507,0.240173
478.527,0.239827
478.547,0.223809
478.567,0.200429
478.587,0.168424
478.608,0.150063
478.627,0.149344
478.647,0.160008
478.667,0.1631
478.687,0.167961
478.707,0.172323
478.727,0.178676
478.746,0.169685
478.767,0.155879
478.787,0.137749
478.808,0.115533
478.827,0.0968682
478.847,0.068732
478.867,0.0239136
478.887,-0.0116546
478.907,-0.0494561
478.927,-0.0997571
478.947,-0.140686
478.967,-0.178736
478.986,-0.219535
479.008,-0.247515
479.027,-0.272625
479.046,-0.298978
479.067,-0.312113
479.086,-0.317922
479.107,-0.316492
479.127,-0.302498
479.147,-0.300923
479.167,-0.299319
479.187,-0.308452
479.208,-0.306727
479.227,-0.304532
479.247,-0.294464
479.267,-0.283311
479.287,-0.269134
479.307,-0.24511
479.327,-0.228457
479.347,-0.218383
479.367,-0.207911
479.387,-0.19089
479.408,-0.178246
479.427,-0.164119
479.447,-0.151885
479.467,-0.142532
479.487,-0.124946
479.507,-0.108432
479.527,-0.10812
479.547,-0.113653
479.567,-0.137144
479.587,-0.176343
479.608,-0.21341
479.627,-0.245386
479.647,-0.277924
479.667,-0.309636
479.687,-0.342066
479.707,-0.367578
479.727,-0.404257
479.747,-0.443465
479.767,-0.468628
479.787,-0.495119
479.808,-0.50922
479.827,-0.514332
479.847,-0.512488
479.867,-0.497698
479.887,-0.48083
479.907,-0.445118
479.927,-0.382552
479.947,-0.321796
479.967,-0.270922
479.987,-0.208284
480.008,-0.13375
480.027,-0.0593491
480.047,-0.011913
480.067,0.0469892
480.087,0.109458
480.106,0.158599
480.127,0.203008
480.147,0.246957
480.167,0.285367
480.187,0.313534
480.208,0.335355
480.227,0.335797
480.247,0.329173
480.267,0.331355
480.287,0.311606
480.307,0.287421
480.327,0.267132
480.346,0.243928
480.367,0.21084
480.387,0.171777
480.408,0.136183
480.427,0.0903537
480.447,0.0385466
480.467,-0.0142196
480.487,-0.0583184
480.506,-0.102202
480.527,-0.145811
480.547,-0.192723
480.567,-0.228225
480.587,-0.267777
480.608,-0.299408
480.627,-0.328034
480.647,-0.359694
480.667,-0.376206
480.687,-0.396624
480.707,-0.416373
480.727,-0.435202
480.747,-0.444988
480.767,-0.450832
480.787,-0.458268
480.808,-0.473121
480.827,-0.487375
480.847,-0.499524
480.867,-0.497627
480.887,-0.481756
480.907,-0.460286
480.927,-0.436506
480.947,-0.389036
480.967,-0.3338
480.987,-0.288586
481.008,-0.248896
481.027,-0.227432
481.047,-0.222555
481.067,-0.236021
481.087,-0.265411
481.107,-0.290492
481.127,-0.313353
481.147,-0.337627
