time;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;Press;Temp;Alt;Lat;Lng;NSats;Spd
349.746800;-2.051509;0.289798;-9.413652;0.000257;0.095933;-0.009251;95837.544000;0.510000;5.530000;48.066500;11.644500;13.000000;0.135464
349.766800;-2.101790;0.312643;-9.497315;0.006988;0.104861;-0.014629;95835.269293;0.510000;5.530000;48.066500;11.644500;13.000000;0.142061
349.786800;-2.048840;0.245346;-9.420195;0.009469;0.106353;-0.015526;95832.683434;0.510000;5.530000;48.066500;11.644500;13.000000;0.130857
349.806800;-2.109154;0.363467;-9.565623;0.006935;0.091933;-0.011810;95830.097576;0.510000;5.530000;48.066500;11.644500;13.000000;0.119472
349.826800;-2.121344;0.335896;-9.372309;0.004815;0.091700;-0.016408;95827.511717;0.510000;5.530000;48.066500;11.644500;13.000000;0.108088
349.846800;-2.032419;0.252218;-9.318999;0.003371;0.098688;-0.009563;95824.925859;0.510000;5.530000;48.066500;11.644500;13.000000;0.096704
349.866800;-2.140133;0.294322;-9.426984;0.003996;0.095758;-0.011433;95825.997822;0.510000;5.530000;48.066500;11.644500;13.000000;0.085319
349.886800;-2.125599;0.303293;-9.460459;0.004018;0.104557;-0.011597;95827.106733;0.510000;5.530000;48.066500;11.644500;13.000000;0.073935
349.906800;-2.102085;0.305968;-9.470925;0.006954;0.097117;-0.010899;95828.215644;0.510000;5.530000;48.066500;11.644500;13.000000;0.062551
349.926800;-2.034075;0.292466;-9.463456;0.004465;0.100906;-0.002228;95829.324554;0.510000;5.530000;48.066500;11.644500;13.000000;0.051167
349.946800;-2.043379;0.261634;-9.410969;0.003931;0.098531;-0.011108;95830.433465;0.510000;5.530000;48.066500;11.644500;13.000000;0.039782
349.966800;-2.083981;0.300234;-9.467236;0.002357;0.099119;-0.015316;95829.702424;0.510000;5.530000;48.066500;11.644500;13.000000;0.028398
349.986800;-2.088991;0.311499;-9.394720;0.003779;0.099325;-0.013464;95828.853939;0.510000;5.530000;48.066500;11.644500;13.000000;0.038506
350.006800;-2.118897;0.254952;-9.500254;0.001694;0.098048;-0.014230;95828.005455;0.510000;5.530000;48.066500;11.644500;13.000000;0.048830
350.026800;-2.113078;0.243647;-9.470606;0.002911;0.095304;-0.014697;95827.156970;0.510000;5.530000;48.066500;11.644500;13.000000;0.059154
350.046800;-2.050600;0.317624;-9.495911;0.010364;0.096217;-0.010062;95826.308485;0.510000;5.530000;48.066500;11.644500;13.000000;0.069479
350.066800;-2.000727;0.247834;-9.414574;0.009528;0.106251;-0.009215;95824.692475;0.510000;5.530000;48.066500;11.644500;13.000000;0.079803
350.086800;-2.130227;0.212353;-9.478833;0.007784;0.103448;-0.006333;95823.068713;0.510000;5.530000;48.066500;11.644500;13.000000;0.090128
350.106800;-2.098840;0.251667;-9.440702;0.001801;0.096868;-0.008203;95821.444950;0.510000;5.530000;48.066500;11.644500;13.000000;0.100452
350.126800;-2.119033;0.290811;-9.482118;0.001513;0.100163;-0.009442;95819.821188;0.510000;5.530000;48.066500;11.644500;13.000000;0.110777
350.146800;-2.066849;0.273811;-9.475897;0.009508;0.096462;-0.013250;95818.197426;0.510000;5.530000;48.066500;11.644500;13.000000;0.121101
350.166800;-2.145500;0.355466;-9.440873;0.009565;0.094894;-0.012071;95819.848400;0.510000;5.530000;48.066500;11.644500;13.000000;0.131426
350.186800;-2.073879;0.292603;-9.536663;-0.001320;0.094392;-0.007832;95821.708400;0.510000;5.530000;48.066500;11.644500;13.000000;0.126047
350.206800;-2.082027;0.299889;-9.488599;0.005108;0.096188;-0.010300;95823.568400;0.510000;5.530000;48.066500;11.644500;13.000000;0.120510
350.226800;-2.117208;0.260364;-9.449085;0.004348;0.105179;-0.013742;95825.428400;0.510000;5.530000;48.066500;11.644500;13.000000;0.114973
350.246800;-2.122163;0.286454;-9.464292;-0.003391;0.096072;-0.009373;95827.288400;0.510000;5.530000;48.066500;11.644500;13.000000;0.109436
350.266800;-2.036862;0.214410;-9.413435;0.003327;0.095766;-0.010066;95825.501200;0.510000;5.530000;48.066500;11.644500;13.000000;0.103899
350.286800;-2.043267;0.252868;-9.531869;0.004772;0.096093;-0.009882;95823.481200;0.510000;5.530000;48.066500;11.644500;13.000000;0.098362
350.306800;-2.088410;0.265430;-9.496324;0.008082;0.099299;-0.009754;95821.461200;0.510000;5.530000;48.066500;11.644500;13.000000;0.092824
350.326800;-2.120400;0.287646;-9.475924;0.008590;0.096904;-0.010295;95819.441200;0.510000;5.530000;48.066500;11.644500;13.000000;0.087287
350.346800;-2.134956;0.268602;-9.531804;0.003306;0.100653;-0.013297;95817.421200;0.510000;5.530000;48.066500;11.644500;13.000000;0.081750
