#time, GyrY[]
346.967,0.0964343
346.988,0.0933091
347.006,0.101478
347.027,0.0993063
347.047,0.091997
347.067,0.0940612
347.087,0.0954987
347.107,0.0881159
347.127,0.0947566
347.147,0.0958376
347.167,0.0909843
347.188,0.0940991
347.206,0.0942099
347.227,0.0937661
347.247,0.0924151
347.267,0.0909427
347.287,0.0994441
347.307,0.0937835
347.327,0.0942259
347.347,0.0967635
347.367,0.0934487
347.388,0.0941775
347.407,0.100987
347.427,0.10014
347.447,0.105873
347.467,0.0960125
347.487,0.094625
347.507,0.0972959
347.527,0.0968859
347.547,0.0963541
347.567,0.10213
347.588,0.102113
347.607,0.0940161
347.627,0.0992099
347.647,0.0961388
347.667,0.0968587
347.687,0.0951326
347.707,0.0979975
347.727,0.0924649
347.747,0.096082
347.767,0.0944968
347.788,0.0976686
347.807,0.0892589
347.827,0.0925008
347.847,0.0941022
347.867,0.0972807
347.887,0.0976956
347.907,0.0976352
347.927,0.0964585
347.947,0.0967071
347.967,0.0995885
347.988,0.0975717
348.007,0.0964982
348.027,0.0991719
348.047,0.0996217
348.067,0.0939976
348.087,0.0933347
348.107,0.10122
348.127,0.0933795
348.147,0.0908604
348.167,0.0916889
348.188,0.0887021
348.206,0.095823
348.227,0.0973745
348.247,0.0986085
348.267,0.0976097
348.287,0.0976981
348.307,0.0963518
348.327,0.0965481
348.347,0.101567
348.367,0.0895916
348.388,0.0945584
348.407,0.0934972
348.427,0.0989141
348.447,0.0971671
348.467,0.0993229
348.487,0.0910189
348.507,0.0977772
348.527,0.0967731
348.547,0.0917829
348.567,0.0810329
348.588,0.0927534
348.607,0.104486
348.627,0.0968043
348.647,0.0988676
348.667,0.087139
348.687,0.0985717
348.707,0.102458
348.727,0.097073
348.747,0.0965311
348.767,0.10041
348.788,0.0969037
348.807,0.0981355
348.827,0.0940463
348.847,0.0941394
348.867,0.106061
348.887,0.0973884
348.907,0.0997289
348.927,0.0917743
348.947,0.0931729
348.967,0.0989982
348.988,0.103409
349.007,0.0975464
349.027,0.0934767
349.047,0.0947079
349.067,0.0978237
349.087,0.101865
349.107,0.0939505
349.127,0.0934904
349.147,0.0954118
349.167,0.0999969
349.188,0.0939293
349.207,0.0909208
349.227,0.102367
349.247,0.0957605
349.267,0.0967046
349.287,0.0898965
349.307,0.100086
349.327,0.100269
349.347,0.104132
349.367,0.0976365
349.388,0.0923505
349.407,0.0885488
349.427,0.0926184
349.447,0.0910567
349.467,0.0984211
349.486,0.0925991
349.507,0.0936192
349.527,0.0962711
349.547,0.0949514
349.567,0.0950751
349.588,0.0927029
349.607,0.0985753
349.627,0.103361
349.647,0.0911434
349.667,0.0923166
349.686,0.100323
349.707,0.101927
349.727,0.102199
349.747,0.0958697
349.767,0.104952
349.788,0.106438
349.807,0.0917786
349.827,0.0916996
349.847,0.0987585
349.867,0.0957274
349.886,0.104855
349.907,0.0970429
349.927,0.100945
349.947,0.0985062
349.967,0.0991255
349.988,0.0993366
350.006,0.0981581
350.027,0.0952768
350.047,0.0962266
350.067,0.106352
350.087,0.103419
