#time, Roll[]
290.427,0
290.467,0
290.507,0
290.548,0
290.588,0
290.627,0
290.667,0
290.707,0
290.748,0
290.788,0
290.827,0
290.867,0
290.907,0
290.948,0
290.987,0
291.027,0
291.067,0
291.107,0
291.148,0
291.188,0
291.227,0
291.267,0
291.307,0
291.349,0
291.387,0
291.427,0
291.467,0
291.507,0
291.548,0
291.588,0
291.627,0
291.667,0
291.707,0
291.748,0
291.788,0
291.827,0
291.867,0
291.907,0
291.948,0
291.989,0
292.027,0
292.067,0
292.107,0
292.148,0
292.189,0
292.227,0
292.267,0
292.307,0
292.348,0
292.389,0
292.427,0
292.467,0
292.507,0
292.548,0
292.589,0
292.627,0
292.667,0
292.707,0
292.748,0
292.788,0
292.827,0
292.867,0
292.907,0
292.948,0
292.989,0
293.028,0
293.067,0
293.107,0
293.148,0
293.189,0
293.227,0
293.267,0
293.308,0
293.348,0
293.388,0
293.428,0
293.467,0
293.507,0
293.548,0
293.588,0
293.627,0
293.667,0
293.707,0
293.748,0
293.788,0
293.827,0
293.867,0
293.907,0
293.948,0
293.987,0
294.028,0
294.067,0
294.107,0
294.148,0
294.188,0
294.227,0
294.267,0
294.307,0
294.349,0
294.388,0
294.428,0
294.467,0
294.507,0
294.548,0
294.588,0
294.628,0
294.667,0
294.707,0
294.748,0
294.788,0
294.827,0
294.867,0
294.907,0
294.948,0
294.988,0
295.028,0
295.067,0
295.107,0
295.148,0
295.188,0
295.228,0
295.267,0
295.307,0
295.349,0
295.387,0
295.427,0
295.467,0
295.507,0
295.548,0
295.588,0
295.627,0
295.667,0
295.707,0
295.748,0
295.789,0
295.827,0
295.867,0
295.907,0
295.948,0
295.988,0
296.028,0
296.067,0
296.107,0
296.148,0
296.188,0
296.227,0
296.267,0
296.307,0
296.349,0
296.389,0
296.427,0
296.468,0
296.507,0
296.548,0
296.588,0
296.628,0
296.667,0
296.707,0
296.748,0
296.787,0
296.827,0
296.867,0
296.907,0
296.948,0
296.989,0
297.027,0
297.067,0
297.107,0
297.148,0
297.188,0
297.227,0
297.267,0
297.307,0
297.349,0
297.389,0
297.427,0
297.467,0
297.507,0
297.548,0
297.588,0
297.627,0
297.667,0
297.707,0
297.748,0
297.789,0
297.827,0
297.867,0
297.907,0
297.948,0
297.988,0
298.027,0
298.067,0
298.107,0
298.148,0
298.188,0
298.227,0
298.267,0
298.307,0
298.351,0
298.389,0
298.427,0
298.467,0
298.507,0
298.548,0
298.588,0
298.627,0
298.667,0
298.707,0
298.748,0
298.788,0
298.827,0
298.867,0
298.907,0
298.948,0
298.988,0
299.027,0
299.067,0
299.107,0
299.148,0
299.188,0
299.227,0
299.267,0
299.307,0
299.349,0
299.389,0
299.427,0
299.467,0
299.507,0
299.548,0
299.587,0
299.628,0
299.667,0
299.707,0
299.748,0
299.789,0
299.827,0
299.867,0
299.907,0
299.948,0
299.988,0
300.027,0
300.067,0
300.107,0
300.148,0
300.188,0
300.227,0
300.267,0
300.307,0
300.349,0
300.389,0
300.427,0
300.467,0
300.507,0
300.548,0
300.588,0
300.627,0
300.667,0
300.707,0
300.748,0
300.788,0
300.827,0
300.867,0
300.907,0
300.948,0
300.987,0
301.027,0
301.067,0
301.107,0
301.148,0
301.188,0
301.227,0
301.267,0
301.307,0
301.349,0
301.389,0
301.427,0
301.467,0
301.507,0
301.548,0
301.589,0
301.628,0
301.667,0
301.707,0
301.748,0
301.789,0
301.827,0
301.867,0
301.907,0
301.948,0
301.989,0
302.027,0
302.067,0
302.107,0
302.148,0
302.189,0
302.227,0
302.267,0
302.307,0
302.348,0
302.388,0
302.427,0
302.467,0
302.507,0
302.548,0
302.589,0
302.627,0
302.667,0
302.707,0
302.748,0
302.789,0
302.827,0
302.867,0
302.907,0
302.948,0
302.989,0
303.027,0
303.067,0
303.107,0
303.148,0
303.189,0
303.227,0
