#time, AccX[]
40.8057,-2.29965
40.8257,-2.25096
40.846,-2.25956
40.8661,-2.24901
40.8858,-2.27768
40.9058,-2.29282
40.9257,-2.32262
40.9459,-2.27842
40.9658,-2.27944
40.9859,-2.26122
41.0058,-2.2137
41.0258,-2.31091
41.046,-2.32167
41.0658,-2.22259
41.0857,-2.18749
41.1058,-2.28998
41.1257,-2.33099
41.146,-2.26321
41.1658,-2.25688
41.1857,-2.36909
41.2059,-2.27521
41.2257,-2.24869
41.2461,-2.24313
41.2661,-2.2936
41.2858,-2.30176
41.3058,-2.29828
41.3257,-2.32025
41.3459,-2.26325
41.3659,-2.29709
41.3857,-2.32454
41.4058,-2.30113
41.4259,-2.29817
41.446,-2.24048
41.4662,-2.25614
41.4857,-2.26448
41.5058,-2.27885
41.5257,-2.26659
41.5458,-2.32126
41.5658,-2.33207
41.5858,-2.32864
41.6059,-2.31963
41.6258,-2.30318
41.6459,-2.21282
41.666,-2.20164
41.6859,-2.30073
41.7058,-2.31017
41.7258,-2.28087
41.7458,-2.25025
41.7658,-2.31791
41.7857,-2.31229
41.8057,-2.28758
41.8257,-2.24726
41.8459,-2.24658
41.8661,-2.27252
41.8859,-2.31732
41.9058,-2.29338
41.9258,-2.26606
41.9457,-2.2584
41.9659,-2.33128
41.9858,-2.23793
42.0058,-2.33153
42.0259,-2.19578
42.0456,-2.28903
42.0663,-2.29197
42.086,-2.29132
42.1057,-2.34939
42.1258,-2.34492
42.1457,-2.29111
42.1659,-2.3208
42.1857,-2.25247
42.2058,-2.29132
42.2257,-2.28801
42.2458,-2.35899
42.2661,-2.3085
42.2861,-2.29777
42.3058,-2.33883
42.3258,-2.27309
42.3457,-2.2699
42.3659,-2.31114
42.3857,-2.24958
42.4058,-2.34884
42.4257,-2.28738
42.4457,-2.30925
42.466,-2.31204
42.4858,-2.28967
42.5057,-2.24346
42.5258,-2.29906
42.5457,-2.26839
42.566,-2.34061
42.5858,-2.3214
42.6058,-2.24313
42.6258,-2.26728
42.6458,-2.2387
42.666,-2.30399
42.686,-2.23438
42.706,-2.20143
42.7258,-2.22757
42.7459,-2.28591
42.7659,-2.34668
42.7857,-2.27871
42.8059,-2.30613
42.8258,-2.31091
42.8457,-2.28221
42.8659,-2.19966
42.8862,-2.2202
42.9057,-2.21245
42.9258,-2.22902
42.9458,-2.19417
42.9657,-2.17122
42.9859,-2.29975
43.0058,-2.31934
43.0258,-2.32235
43.0458,-2.23246
